Index;Land ;Land_EN;Einwohner;Gesamtfläche;Bevölkerungsdichte*;Landfläche;Bevölkerungsdichte*
175;Norfolkinsel;Norfolk Island;1.748 ;36 km²;49;36 km²;49
176;Norwegen;Norway;5.467.439 ;323.802 km²;17;304.282 km²;18
177;Oman;Oman;4.664.844 ;309.500 km²;15;309.500 km²;15
178;Österreich;Austria;8.859.449 ;83.871 km²;106;82.445 km²;107
179;Pakistan;Pakistan;233.500.636 ;796.095 km²;293;770.875 km²;303
181;Palau;Palau;21.685 ;459 km²;47;459 km²;47
182;Panama;Panama;3.894.082 ;75.420 km²;52;74.340 km²;52
183;Papua-Neuguinea;Papua New Guinea;7.259.456 ;462.840 km²;16;452.860 km²;16
184;Paraguay;Paraguay;7.191.685 ;406.752 km²;18;397.302 km²;18
185;Peru;Peru;31.914.989 ;1.285.216 km²;25;1.279.996 km²;25
186;Philippinen;Philippines;109.180.815 ;300.000 km²;364;298.170 km²;366
187;Pitcairninseln;Pitcairn Island;50 ;47 km²;1;47 km²;1
188;Polen;Poland;38.282.325 ;312.685 km²;122;304.465 km²;126
189;Portugal;Portugal;10.302.674 ;92.090 km²;112;91.470 km²;113
190;Puerto Rico;Puerto Rico;3.189.068 ;13.790 km²;231;8.870 km²;360
193;Ruanda;Rwanda;12.712.431 ;26.338 km²;483;24.948 km²;510
194;Rumänien;Romania;21.302.893 ;238.391 km²;89;229.891 km²;93
195;Russland;Russian Federation;141.722.205 ;17.098.242 km²;8;16.377.742 km²;9
196;Saint-Martin;Saint Martin;35.684 ;53 km²;671;53 km²;671
197;Salomonen;Solomon Islands;685.097 ;28.896 km²;24;27.986 km²;24
198;Sambia;Zambia;17.426.623 ;752.618 km²;23;743.398 km²;23
199;Samoa;Samoa;203.774 ;2.831 km²;72;2.821 km²;72
200;San Marino;San Marino;34.232 ;61 km²;561;61 km²;561
201;São Tomé und Príncipe;Sao Tome and Príncipe;211.122 ;964 km²;219;964 km²;219
202;Saudi-Arabien;Saudi Arabia;34.173.498 ;2.149.690 km²;16;2.149.690 km²;16
203;Schweden;Sweden;10.202.491 ;450.295 km²;23;410.335 km²;25
204;Schweiz;Switzerland;8.403.994 ;41.277 km²;204;39.997 km²;210
205;Senegal;Senegal;15.736.368 ;196.722 km²;80;192.530 km²;82
206;Serbien;Serbia;7.012.165 ;77.474 km²;91;77.474 km²;91
207;Seychellen;Seychelles;95.981 ;455 km²;211;455 km²;211
208;Sierra Leone;Sierra Leone;6.624.933 ;71.740 km²;92;71.620 km²;93
